crossing time (s)	slope (V/s)	crossing number
10060.604264	14.767974	3040
10061.591982	14.768937	3041
10062.640315	14.914464	3042
10063.630050	14.863232	3043
10064.677627	15.013493	3044
10065.668205	14.821346	3045
10066.714075	14.956671	3046
10067.706245	14.829326	3047
10068.749598	14.804595	3048
10069.744153	14.813588	3049
10070.786186	14.701334	3050
10071.782370	14.680783	3051
10072.821316	14.573767	3052
10073.821331	14.463636	3053
10074.856395	14.519828	3054
10075.860433	14.459216	3055
10076.892078	14.519325	3056
10077.899137	14.406923	3057
10078.928564	14.501365	3058
10079.938239	14.380348	3059
10080.963872	14.467276	3060
10081.977093	14.467683	3061
10082.999590	14.447882	3062
10084.014810	14.475484	3063
10085.035787	14.390871	3064
10086.051472	14.421327	3065
10087.073022	14.461576	3066
10088.088994	14.455176	3067
10089.109993	14.517406	3068
10090.125419	14.381266	3069
10091.148512	14.403965	3070
10092.162465	14.344113	3071
10093.185642	14.270586	3072
10094.198533	14.245940	3073
10095.224335	14.153254	3074
10096.234745	14.156258	3075
10097.261311	14.131586	3076
10098.270049	14.060039	3077
10099.300834	14.059230	3078
10100.306446	14.034974	3079
10101.340707	14.062433	3080
10102.340777	14.012523	3081
10103.379626	14.037859	3082
10104.376574	13.939093	3083
10105.418094	14.104477	3084
10106.412712	14.008154	3085
10107.456109	14.004225	3086
10108.447986	14.088418	3087
10109.494505	14.011539	3088
10110.484697	13.985166	3089
10111.531692	13.869199	3090
10112.521372	13.911360	3091
10113.569250	13.796734	3092
10114.557435	13.883748	3093
10115.605850	13.851695	3094
10116.595018	13.834593	3095
10117.642828	13.820092	3096
10118.633241	13.795091	3097
10119.679767	13.710974	3098
10120.670049	13.750112	3099
10121.717283	13.809661	3100
10122.708285	13.716029	3101
10123.752905	13.780424	3102
10124.746764	13.612355	3103
10125.789481	13.735933	3104
10126.786138	13.685313	3105
10127.824933	13.844465	3106
10128.822740	13.793508	3107
10129.860383	13.852715	3108
10130.861306	13.666985	3109
10131.895890	13.786963	3110
10132.900402	13.671790	3111
10133.932187	13.629372	3112
10134.938460	13.615276	3113
10135.967503	13.620320	3114
10136.974582	13.584132	3115
10138.004676	13.637693	3116
10139.015176	13.498359	3117
10140.040374	13.628185	3118
10141.053179	13.453136	3119
10142.077854	13.605698	3120
10143.091038	13.462196	3121
10144.115096	13.528029	3122
10145.128010	13.567814	3123
10146.152499	13.556145	3124
10147.163192	13.446068	3125
10148.191042	13.574022	3126
10149.201683	13.521605	3127
10150.228840	13.621992	3128
10151.236604	13.509390	3129
10152.265896	13.523124	3130
10153.272650	13.541194	3131
10154.304466	13.485936	3132
10155.307615	13.515831	3133
10156.342403	13.447831	3134
10157.342748	13.532459	3135
10158.381466	13.370486	3136
10159.379013	13.499469	3137
10160.420426	13.318378	3138
10161.414690	13.455733	3139
10162.458639	13.282380	3140
10163.450874	13.341191	3141
10164.497123	13.344197	3142
10165.487733	13.295146	3143
10166.534867	13.318211	3144
10167.526073	13.291274	3145
10168.572145	13.316676	3146
10169.561351	13.370756	3147
10170.609588	13.345784	3148
10171.598461	13.327107	3149
10172.647443	13.323027	3150
10173.636226	13.255323	3151
10174.683546	13.268273	3152
10175.673234	13.303890	3153
10176.719492	13.208239	3154
10177.711045	13.322938	3155
10178.755473	13.198487	3156
10179.749758	13.163129	3157
10180.793087	12.853212	3158
10181.788558	13.190117	3159
10182.827719	13.254388	3160
10183.826375	13.179280	3161
10184.863470	13.259030	3162
10185.865312	13.160554	3163
10186.898416	13.314572	3164
10187.903835	13.106808	3165
10188.934467	13.199519	3166
10189.942916	13.144525	3167
10190.970040	13.198410	3168
10191.979403	13.147694	3169
10193.006695	13.157826	3170
10194.018225	13.092469	3171
10195.044363	13.121615	3172
10196.055990	13.085139	3173
10197.080495	13.134227	3174
10198.092931	13.019784	3175
10199.117647	13.064744	3176
10200.129716	13.065340	3177
10201.154929	13.086001	3178
10202.166516	13.022047	3179
10203.192298	13.139626	3180
10204.201650	13.013863	3181
10205.230905	12.998243	3182
10206.237960	12.996629	3183
10207.268719	12.952915	3184
10208.274619	12.922629	3185
10209.307471	12.949226	3186
10210.309791	12.983338	3187
10211.346126	12.983054	3188
10212.344715	13.139986	3189
10213.384566	12.966387	3190
10214.380000	13.041199	3191
10215.423238	12.916663	3192
10216.417500	12.919563	3193
10217.462327	12.851346	3194
10218.453765	12.944529	3195
10219.499118	12.808203	3196
10220.490085	12.860632	3197
10221.536521	12.852648	3198
10222.526624	12.813475	3199
10223.574529	12.779973	3200
10224.563835	12.819387	3201
10225.611216	12.789134	3202
10226.600694	12.899518	3203
10227.648151	12.780942	3204
10228.638575	12.818079	3205
10229.685256	12.821286	3206
10230.675205	12.739509	3207
10231.719425	12.829819	3208
10232.714083	12.713704	3209
10233.757711	12.601014	3210
10234.752518	12.590342	3211
10235.793647	12.607689	3212
10236.791712	12.549560	3213
10237.829167	12.540281	3214
10238.828990	12.858268	3215
10239.864425	12.473618	3216
10240.867582	12.572894	3217
10241.899405	12.724001	3218
10242.905988	12.522500	3219
10243.936301	12.657003	3220
10244.944105	12.560456	3221
10245.972185	12.548361	3222
10246.981115	12.571360	3223
10248.008567	12.499773	3224
10249.017793	12.459995	3225
10250.044905	12.526267	3226
10251.054842	12.357028	3227
10252.081970	12.460599	3228
10253.092786	12.338532	3229
10254.119248	12.365375	3230
10255.128378	12.355843	3231
