time (s)	magX	magY	magZ
7158.994014	-96.023376	50.528931	-2.628288
7158.997348	-97.835175	51.697838	-2.862068
7159.000700	-98.770309	51.990067	-3.388077
7159.004044	-100.523666	53.100525	-4.089420
7159.007362	-101.692581	53.451195	-4.615429
7159.010689	-102.861481	54.386326	-5.842783
7159.014021	-105.316177	55.146118	-6.427237
7159.017348	-106.601990	56.490356	-7.654589
7159.020703	-108.004669	57.367035	-8.122150
7159.024020	-109.991821	57.776154	-8.881939
7159.027346	-110.985382	58.769722	-10.109293
7159.030685	-112.914078	59.354179	-11.102863
7159.034045	-115.193451	60.523087	-11.278200
7159.037363	-116.888367	61.165985	-12.797779
7159.040267	-118.875504	62.860901	-13.849794
7159.043593	-121.096420	63.796028	-15.427820
7159.046918	-123.258911	65.081825	-16.888954
7159.050254	-125.129150	65.549385	-18.466978
7159.053591	-127.291641	67.185860	-19.285213
7159.056924	-129.570999	68.588547	-21.038574
7159.060254	-131.791931	69.114555	-22.616598
7159.063612	-134.480408	70.225014	-24.545296
7159.066924	-137.519577	71.978371	-24.954412
7159.070256	-139.682053	73.848625	-28.052017
7159.073587	-142.662766	74.549973	-29.980713
7159.076923	-145.701935	75.952660	-31.967855
7159.080251	-148.741089	77.764465	-34.130333
7159.083583	-151.546463	79.108711	-36.292812
7159.086915	-154.410278	80.219170	-38.747517
7159.090251	-156.981873	82.615425	-41.319111
7159.093581	-160.137924	84.251900	-44.124489
7159.096915	-163.878418	86.122154	-45.702515
7159.100256	-167.618927	87.875519	-48.741669
7159.103581	-170.833435	89.804207	-52.131500
7159.106949	-174.340164	91.616020	-54.819988
7159.110250	-178.080658	93.661598	-58.268265
7159.113583	-181.353607	95.648750	-61.950317
7159.116917	-185.386337	97.343658	-65.515488
7159.120268	-189.126831	99.915253	-69.372879
7159.123575	-192.750443	101.259499	-73.580948
7159.126911	-196.783173	103.305084	-77.672119
7159.130246	-201.108124	105.935127	-81.587959
7159.133576	-206.134415	108.389832	-86.731148
7159.136913	-208.939804	110.961426	-90.705437
7159.140244	-213.206299	112.831680	-96.900650
7159.143580	-217.765045	115.520164	-102.102280
7159.146911	-222.557587	117.741089	-108.005257
7159.150261	-227.583862	121.130920	-113.148453
7159.153577	-232.142609	123.527176	-120.278786
7159.156908	-237.285797	125.981888	-126.298660
7159.160278	-242.312103	128.670364	-133.896561
7159.163586	-247.221497	131.592636	-140.150208
7159.166907	-252.715363	134.339569	-148.624771
7159.170245	-257.741669	137.086502	-157.391586
7159.173577	-262.300415	139.891876	-165.632370
7159.176905	-267.151367	143.398605	-173.639389
7159.180240	-273.521912	146.379303	-183.808868
7159.183573	-278.197540	149.184677	-192.926361
7159.186911	-283.165375	152.282288	-203.388062
7159.190234	-288.951477	155.496780	-213.791336
7159.193587	-293.977783	158.945068	-224.662186
7159.196899	-299.004089	162.101105	-236.117477
7159.200240	-304.439514	164.731155	-248.858566
7159.203575	-308.647552	167.536530	-261.015198
7159.206904	-313.206299	171.393921	-273.814728
7159.210236	-318.466370	173.614838	-287.257172
7159.213566	-323.258911	176.654007	-301.926971
7159.216901	-327.583862	178.758041	-316.772064
7159.220242	-331.616608	182.089417	-331.091187
7159.223575	-335.064880	184.018112	-347.572754
7159.226907	-338.045593	186.940384	-363.879028
7159.230279	-341.552307	189.979553	-380.652832
7159.233573	-344.591461	192.083588	-398.946259
7159.236920	-347.163055	194.070709	-416.596741
7159.240235	-348.448853	195.824081	-435.708374
7159.243570	-350.552887	197.051437	-455.462860
7159.246900	-351.838684	198.980133	-474.516083
7159.250240	-351.663361	200.441254	-494.562866
7159.253565	-350.903564	201.025726	-516.421387
7159.256899	-349.851532	201.785507	-537.344788
7159.260232	-348.331970	202.019287	-559.144958
7159.263571	-346.520172	202.253067	-581.061951
7159.266901	-343.013428	201.902390	-603.212769
7159.270234	-339.331360	201.376389	-625.772644
7159.273563	-333.895966	199.623032	-648.040344
7159.276894	-328.343658	197.928116	-670.833984
7159.280242	-321.563995	195.882523	-694.504395
