time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
9272.159395	326.276520	1.665099	-0.029361	43
9274.208881	323.847839	1.670665	-0.026716	45
9276.251604	323.373260	1.675281	-0.020905	47
9278.287453	324.281799	1.679482	-0.019258	49
9280.322477	325.045288	1.680860	-0.019584	51
9282.358885	325.462982	1.684245	-0.020308	53
9284.396913	325.823334	1.668917	-0.020792	55
9286.436253	326.441040	1.663044	-0.021230	57
9288.473899	326.531830	1.669452	-0.022200	59
9290.504932	325.431091	1.681611	-0.024903	61
9292.530955	322.398407	1.683426	-0.026301	63
9294.564780	321.670349	1.638085	-0.016175	65
9296.614738	325.890625	1.634307	-0.011704	67
9298.659798	327.930206	1.665293	-0.024565	69
9300.684492	323.182648	1.684385	-0.030603	71
9302.712958	320.895325	1.632869	-0.015875	73
9304.763303	325.709290	1.635617	-0.011105	75
9306.808340	327.627930	1.654349	-0.023868	77
9308.834313	323.880432	1.671671	-0.027924	79
9310.860726	321.136780	1.637376	-0.019406	81
9312.901576	322.904327	1.630039	-0.013916	83
9314.948868	325.303833	1.636155	-0.015338	85
9316.992001	325.918793	1.629372	-0.018107	87
9319.030605	325.333313	1.628435	-0.019030	89
9321.067359	324.642181	1.630800	-0.018402	91
9323.104155	324.036926	1.628190	-0.017544	93
9325.141653	323.597046	1.619700	-0.017155	95
9327.178600	323.252747	1.622311	-0.016540	97
9329.212461	323.359039	1.647750	-0.014322	99
9331.241420	324.338989	1.657468	-0.011785	101
9333.269305	325.693909	1.634982	-0.012447	103
9335.305703	325.888092	1.608442	-0.017267	105
9337.353651	323.720703	1.603126	-0.021484	107
9339.400466	321.499054	1.604658	-0.016350	109
9341.433001	322.614624	1.638209	-0.008875	111
9343.456922	325.533081	1.634814	-0.009781	113
9345.489736	326.095398	1.609302	-0.016848	115
9347.536023	324.136536	1.595904	-0.018530	117
9349.583533	322.251221	1.595134	-0.014779	119
9351.622731	322.186066	1.608013	-0.010480	121
9353.655113	323.311737	1.621525	-0.009378	123
9355.685329	324.226501	1.627671	-0.010348	125
9357.717009	324.425110	1.620120	-0.011394	127
9359.751113	324.203003	1.600886	-0.010978	129
9361.786883	323.804687	1.590924	-0.011121	131
9363.823953	323.459229	1.592098	-0.010734	133
9365.862197	323.321869	1.594237	-0.010052	135
9367.902402	323.470337	1.572817	-0.009059	137
9369.944898	324.205292	1.584036	-0.008129	139
9371.988515	325.167206	1.599207	-0.007658	141
9374.030165	325.551483	1.608495	-0.008378	143
9376.065620	325.116638	1.611241	-0.010747	145
9378.094254	323.435150	1.605135	-0.011601	147
9380.120242	321.252930	1.562977	-0.009547	149
9382.156152	321.312531	1.541199	-0.004280	151
9384.201645	323.510925	1.561404	-0.002489	153
9386.248854	325.551483	1.581175	-0.004894	155
9388.289001	325.412476	1.593860	-0.008231	157
9390.321169	324.188965	1.601088	-0.008578	159
9392.350200	322.894775	1.581840	-0.007040	161
9394.380494	322.129578	1.553951	-0.005371	163
9396.414394	322.023529	1.530123	-0.003670	165
9398.451425	322.423309	1.522098	-0.003062	167
9400.490059	322.929962	1.530861	-0.003201	169
9402.527761	323.318237	1.540699	-0.003160	171
9404.564298	323.558960	1.534775	-0.002765	173
9406.600208	323.856537	1.527469	-0.002625	175
9408.635896	324.152527	1.525616	-0.001873	177
9410.673457	324.317413	1.526556	-0.002491	179
9412.714238	324.137024	1.528839	-0.003029	181
9414.758260	323.221649	1.540105	-0.003238	183
9416.802667	322.079681	1.551529	-0.002771	185
9418.843960	321.384735	1.567327	-0.001207	187
9420.879407	321.764862	1.581054	0.000855	189
9422.908967	323.125183	1.579526	0.001739	191
9424.936838	324.632050	1.553453	0.001391	193
9426.968915	325.114960	1.521329	-0.000687	195
9429.008137	324.598724	1.517879	-0.002176	197
9431.052450	323.415588	1.531748	-0.001045	199
9433.096530	322.540955	1.552549	-0.000172	201
9435.137603	322.184845	1.553806	0.001728	203
9437.176297	322.261597	1.554208	0.002154	205
9439.213890	322.560913	1.559966	0.002424	207
9441.250945	322.835937	1.554547	0.002841	209
9443.288038	323.095795	1.558145	0.002788	211
9445.324689	323.201141	1.559513	0.003564	213
9447.360182	323.345642	1.557345	0.003894	215
9449.394292	323.212555	1.561054	0.003523	217
9451.425818	322.982269	1.554258	0.003456	219
9453.456284	322.282684	1.532222	0.004295	221
9455.487803	321.494202	1.508599	0.005664	223
9457.524590	321.696686	1.493431	0.008002	225
9459.567154	322.753601	1.507182	0.009274	227
9461.612722	323.932037	1.532479	0.008286	229
9463.656097	324.371033	1.547318	0.007409	231
9465.695573	324.062195	1.547305	0.006992	233
9467.731271	323.542664	1.546995	0.006711	235
9469.764698	323.105255	1.547398	0.007150	237
9471.797370	322.894684	1.546429	0.007380	239
9473.830387	322.758362	1.526351	0.008637	241
