time (s)	coil I (A)	last det (V)	int current (uC)
5503.714403	1.199480	0.130850	678.905640
5503.715446	1.530747	0.130850	2275.474854
5503.716339	1.501989	0.130850	3616.750488
5503.717288	1.460548	0.130850	5002.810547
5503.718354	1.416156	0.130850	6512.432617
5503.719283	1.378711	0.130850	7793.254883
5503.720145	1.345016	0.130850	8952.658203
5503.721201	1.306652	0.130850	10332.482422
5503.722225	1.271045	0.130850	11634.032227
5503.723116	1.240950	0.130850	12739.718750
5503.724090	1.208690	0.130850	13916.983398
5503.725145	1.174768	0.130850	15156.363281
5503.726069	1.146321	0.130850	16215.563477
5503.726944	1.122620	0.130850	17197.855469
5503.728041	1.094700	0.130850	18398.740234
5503.729044	0.590105	0.130850	18990.615234
5503.729933	0.093322	0.130850	19073.578125
5503.730920	0.090011	0.130850	19162.419922
5503.731983	0.090044	0.130850	19258.136719
5503.732869	0.089949	0.130850	19337.832031
5503.733735	0.089934	0.130850	19415.714844
5503.734835	0.090073	0.130850	19514.794922
5503.735807	0.089971	0.130850	19602.246094
5503.736668	0.090033	0.130850	19679.763672
5503.737695	0.090040	0.130850	19772.234375
5503.738727	0.090033	0.130850	19865.148437
5504.627216	1.094718	0.192903	558.306152
5504.628269	1.529279	0.192903	2168.636475
5504.629202	1.502476	0.192903	3570.446289
5504.630062	1.464181	0.192903	4829.641602
5504.631095	1.420748	0.192903	6297.274414
5504.632112	1.379982	0.192903	7700.715820
5504.633007	1.345778	0.192903	8905.186523
5504.633977	1.310651	0.192903	10176.517578
5504.635035	1.273528	0.192903	11523.910156
5504.635963	1.242125	0.192903	12676.602539
5504.636833	1.212059	0.192903	13731.093750
5504.637909	1.178167	0.192903	14998.800781
5504.638913	1.146921	0.192903	16150.309570
5504.639804	1.123700	0.192903	17151.525391
5504.640686	1.101317	0.192903	18122.886719
5504.641672	0.826747	0.192903	18938.058594
5504.642616	0.107607	0.192903	19039.640625
5504.643535	0.089974	0.192903	19122.326172
5504.644400	0.090026	0.192903	19200.199219
5504.645436	0.089989	0.192903	19293.427734
5504.646321	0.089971	0.192903	19373.052734
5504.647187	0.090026	0.192903	19451.015625
5504.648135	0.089938	0.192903	19536.277344
5504.649091	0.089960	0.192903	19622.279297
5504.650004	0.090004	0.192903	19704.453125
5504.650877	0.090004	0.192903	19783.025391
5505.760186	1.074016	0.144156	454.308807
5505.761306	1.529564	0.144156	2167.420654
5505.762274	1.501926	0.144156	3621.285156
5505.763142	1.463613	0.144156	4891.701172
5505.764183	1.420375	0.144156	6370.311523
5505.765219	1.378843	0.144156	7798.792969
5505.766118	1.343796	0.144156	9006.866211
5505.767047	1.310006	0.144156	10223.861328
5505.768101	1.273000	0.144156	11565.603516
5505.769048	1.241206	0.144156	12741.025391
5505.769913	1.212041	0.144156	13789.441406
5505.770958	1.178833	0.144156	15021.322266
5505.771978	1.147233	0.144156	16191.500000
5505.772861	1.124008	0.144156	17183.998047
5505.773729	1.101394	0.144156	18140.007812
5505.774691	0.854747	0.144156	18962.275391
5505.775659	0.112299	0.144156	19070.980469
5505.776565	0.089996	0.144156	19152.517578
5505.777443	0.089956	0.144156	19231.498047
5505.778457	0.089967	0.144156	19322.724609
5505.779367	0.089956	0.144156	19404.583984
5505.780252	0.090000	0.144156	19484.234375
5505.781136	0.090077	0.144156	19563.863281
5505.782164	0.090007	0.144156	19656.390625
5505.783054	0.090011	0.144156	19736.500000
5505.783911	0.090029	0.144156	19813.654297
5506.661888	1.118540	0.196681	535.780701
5506.662768	1.527294	0.196681	1879.799072
5506.663736	1.509569	0.196681	3341.062012
5506.664781	1.463873	0.196681	4870.809570
5506.665709	1.424440	0.196681	6192.689453
5506.666571	1.388745	0.196681	7389.787598
5506.667629	1.348788	0.196681	8816.804687
5506.668635	1.311775	0.196681	10136.450195
5506.669513	1.280797	0.196681	11260.990234
5506.670493	1.247754	0.196681	12483.789062
5506.671552	1.212488	0.196681	13767.813477
5506.672461	1.182521	0.196681	14842.724609
5506.673329	1.154601	0.196681	15844.917969
5506.674406	1.125762	0.196681	17057.363281
5506.675406	1.100039	0.196681	18157.402344
5506.676302	0.909825	0.196681	18972.605469
5506.677289	0.121926	0.196681	19092.947266
5506.678353	0.089930	0.196681	19188.632812
5506.679248	0.090037	0.196681	19269.214844
5506.680116	0.090070	0.196681	19347.394531
5506.681228	0.090066	0.196681	19447.546875
5506.682182	0.090026	0.196681	19533.431641
5506.683048	0.090018	0.196681	19611.386719
5506.684073	0.090026	0.196681	19703.662109
5506.685099	0.090055	0.196681	19796.058594
5506.685985	0.089960	0.196681	19875.763672
5507.799992	1.072559	0.141525	454.764862
5507.801098	1.528803	0.141525	2145.620361
5507.802057	1.502527	0.141525	3586.543457
5507.802930	1.464133	0.141525	4864.731934
5507.803947	1.421503	0.141525	6310.400391
5507.804985	1.380055	0.141525	7742.897461
5507.805879	1.345331	0.141525	8945.623047
5507.806794	1.311573	0.141525	10145.712891
5507.807879	1.274191	0.141525	11528.209961
5507.808829	1.242107	0.141525	12708.211914
5507.809698	1.212931	0.141525	13762.249023
5507.810754	1.178818	0.141525	15007.081055
5507.811776	1.147277	0.141525	16179.597656
5507.812670	1.123418	0.141525	17183.933594
5507.813636	1.099307	0.141525	18245.863281
5507.814701	0.675553	0.141525	18965.328125
5507.815622	0.095317	0.141525	19053.115234
5507.816482	0.089879	0.141525	19130.412109
5507.817541	0.090073	0.141525	19225.798828
5507.818546	0.090029	0.141525	19316.277344
5507.819424	0.090000	0.141525	19395.296875
5507.820412	0.090037	0.141525	19484.253906
5507.821457	0.089916	0.141525	19578.216797
5507.822360	0.090022	0.141525	19659.505859
5507.823217	0.090007	0.141525	19736.642578
5507.824301	0.090044	0.141525	19834.250000
5508.700187	1.110103	0.199199	579.473511
5508.701248	1.529161	0.199199	2201.913574
5508.702176	1.501476	0.199199	3595.283203
5508.703039	1.462804	0.199199	4857.683105
5508.704122	1.418661	0.199199	6394.092773
5508.705130	1.377883	0.199199	7782.999023
5508.706005	1.343965	0.199199	8958.968750
5508.706981	1.308633	0.199199	10236.194336
5508.708046	1.271700	0.199199	11590.555664
5508.708951	1.240847	0.199199	12713.522461
5508.709822	1.210562	0.199199	13767.921875
5508.710906	1.176907	0.199199	15043.688477
5508.711890	1.146196	0.199199	16171.545898
5508.712792	1.123015	0.199199	17184.505859
5508.713782	1.097402	0.199199	18270.933594
5508.714846	0.637101	0.199199	18948.808594
5508.715730	0.094468	0.199199	19032.318359
5508.716612	0.089963	0.199199	19111.666016
5508.717694	0.090015	0.199199	19209.062500
5508.718654	0.089908	0.199199	19295.375000
5508.719517	0.089941	0.199199	19372.994141
5508.720544	0.090062	0.199199	19465.488281
5508.721570	0.089894	0.199199	19557.718750
5508.722452	0.089934	0.199199	19637.041016
5508.723325	0.089908	0.199199	19715.531250
5508.724238	0.089927	0.199199	19797.634766
5509.840924	1.136770	0.136184	576.342407
5509.841879	1.529868	0.136184	2037.366577
5509.842745	1.509012	0.136184	3344.171387
5509.843796	1.463873	0.136184	4882.702148
5509.844839	1.420107	0.136184	6363.874023
5509.845716	1.383647	0.136184	7577.333008
5509.846600	1.349854	0.136184	8770.603516
5509.847547	1.315118	0.136184	10016.020508
5509.848528	1.280522	0.136184	11272.212891
5509.849438	1.249783	0.136184	12409.515625
5509.850322	1.219926	0.136184	13487.929687
5509.851380	1.186403	0.136184	14743.143555
5509.852271	1.157622	0.136184	15774.584961
5509.853154	1.131617	0.136184	16773.802734
5509.854039	1.110253	0.136184	17756.376953
5509.855090	1.052845	0.136184	18862.917969
5509.855993	0.218221	0.136184	19059.972656
5509.856861	0.089923	0.136184	19138.025391
5509.857861	0.090033	0.136184	19228.058594
5509.858762	0.090007	0.136184	19309.154297
5509.859639	0.090029	0.136184	19388.109375
5509.860614	0.090026	0.136184	19475.884766
5509.861623	0.090018	0.136184	19566.712891
5509.862506	0.090026	0.136184	19646.205078
5509.863365	0.090029	0.136184	19723.541016
5509.864433	0.090092	0.136184	19819.759766
5510.741030	1.146035	0.214196	592.500183
5510.741951	1.529330	0.214196	2001.012939
5510.742814	1.508837	0.214196	3303.138916
5510.743894	1.463024	0.214196	4883.204590
5510.744893	1.420858	0.214196	6302.641602
5510.745777	1.384962	0.214196	7526.948242
5510.746758	1.347839	0.214196	8849.178711
5510.747819	1.309047	0.214196	10238.077148
5510.748727	1.276732	0.214196	11397.349609
5510.749590	1.246597	0.214196	12473.162109
5510.750668	1.211642	0.214196	13779.312500
5510.751665	1.179280	0.214196	14955.054687
5510.752539	1.151781	0.214196	15961.710937
5510.753526	1.125304	0.214196	17072.386719
5510.754596	1.098190	0.214196	18247.449219
5510.755495	0.826201	0.214196	18990.203125
5510.756369	0.112350	0.214196	19088.396484
5510.757471	0.090011	0.214196	19187.587891
5510.758433	0.090040	0.214196	19274.207031
5510.759304	0.090007	0.214196	19352.603516
5510.760335	0.090033	0.214196	19445.427734
5510.761376	0.090018	0.214196	19539.136719
5510.762267	0.089930	0.214196	19619.265625
5510.763160	0.090092	0.214196	19699.716797
5510.764239	0.090099	0.214196	19796.933594
5510.765196	0.090103	0.214196	19883.162109
5511.885750	1.047078	0.137533	440.819702
5511.886735	1.524697	0.137533	1942.646484
5511.887807	1.503021	0.137533	3553.885254
5511.888712	1.463123	0.137533	4878.011230
5511.889578	1.425242	0.137533	6112.270508
5511.890684	1.381999	0.137533	7640.761719
5511.891649	1.345049	0.137533	8938.733398
5511.892513	1.313207	0.137533	10073.343750
5511.893591	1.276080	0.137533	11448.958008
5511.894619	1.241331	0.137533	12725.045898
5511.895509	1.211030	0.137533	13802.863281
5511.896451	1.180778	0.137533	14915.156250
5511.897517	1.147961	0.137533	16138.882812
5511.898451	1.123678	0.137533	17188.398437
5511.899312	1.100790	0.137533	18136.177734
5511.900378	0.745719	0.137533	18931.113281
